ParlaMint-BE_2019-10-03-55-plenair-ip007x.u1	[[Le président:]] La séance est ouverte. De vergadering is geopend.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u45	[[12.04 Joris Vandenbroucke (sp.a):]] Mijnheer de minister, dank u voor uw antwoord. U verwijst naar de verantwoordelijkheid van de regionale ministers en van ons allemaal. Die is er natuurlijk. Maar ik heb u aangesproken op úw verantwoordelijkheid. Eerlijk gezegd, uw antwoord ontgoochelt mij. Het is even ontgoochelend als het beleid dat u gevoerd hebt. Elke dag sterven er mensen in het verkeer in België. Hun aantal is dit jaar nog toegenomen. Elke dag kruipen er mensen achter het stuur van wie het rijbewijs ingetrokken is en die toch nul procent kans hebben om tegen de lamp te lopen. Mijnheer de minister, ik vraag u daartegen maatregelen te nemen, maar het is overduidelijk dat wij daarvoor niet op u moeten rekenen. Wij zullen het zelf moeten doen. U mag erop rekenen dat de sp.a-fractie voorstellen zal indienen om de verkeersveiligheid in dit land te verbeteren.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u46	[[12.05 Emmanuel Burton (MR):]] Monsieur le ministre, je vous remercie de vos réponses. Après vous avoir entendu, j'ai envie de dire qu'il ne faut pas faire fi des résultats ni de votre action entreprise au cours de ces dernières années. Les efforts doivent être poursuivis. J'ai parfaitement compris que c'était bien votre volonté, puisque nombre d'initiatives ont été prises, comme nous avons pu le constater régulièrement en commission de l'Infrastructure. Enfin, vu la gravité du sujet, nous devons éviter les slogans et les réponses simplistes.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u47	[[13.01 Vanessa Matz (cdH):]] Monsieur le président, monsieur le ministre, loin de moi l'idée de jeter l'opprobre sur l'ensemble des CPAS. Nous avons un modèle de CPAS que nous vantons souvent. Vous avez d'ailleurs souvent dit qu'il faudrait l'exporter. C'est donc aussi l'occasion de souligner le travail immense qui est accompli, non seulement par les travailleurs sociaux, mais aussi par l'ensemble des mandataires qui contribuent simplement à plus de dignité humaine. Si la loi qui régit les CPAS est exportable, les pratiques issues de cette loi ne le sont, quant à elles, pas du tout. J'en veux pour preuve aujourd'hui une manifestation des sans-abri qui veulent dénoncer l'interprétation faite de la loi, notamment de la notion de sans-abri. En effet, sans-abri ne signifie pas juste être dans la rue. Sans-abri peut aussi dire être hébergé temporairement chez des personnes qui veulent aider ponctuellement lorsqu'un accident de la vie survient. Or certains CPAS refusent à des sans-abri, dans une définition large qui est celle de notre loi, d'octroyer une adresse de référence, les empêchant ainsi de faire toute une série de démarches administratives, notamment en vue de recevoir le revenu d'intégration sociale. Monsieur le ministre, avez-vous connaissance de ces situations qui sont corroborées par un rapport d'inspection de vos services sur le fait qu'il y a effectivement des légèretés par rapport à l'interprétation de la loi? Si oui, quelles mesures comptez-vous prendre pour que la loi soit respectée?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u48	[[13.02 Denis Ducarme, ministre:]] Monsieur le président, madame Matz, je tiens à vous remercier d'emblée de faire la distinction et de ne pas, à la suite d'un article de presse, jeter l'opprobre sur l'ensemble des CPAS qui, comme vous l'avez dit, dans leur extrême grande majorité, font un travail tout à fait extraordinaire. Il est en effet primordial que les sans-abri puissent accéder à l'aide sociale et médicale nécessaire pour leur réintégration sociale. L'adresse de référence, en la matière, est un outil très important qui contribue à rencontrer ces objectifs. Je ne vais pas revenir sur le travail du CPAS dans ce cadre. Je veux simplement vous indiquer qu'évidemment, nous avons connaissance de la problématique. C'est ainsi que depuis maintenant plus de deux ans, nous travaillons avec le département de l'Intérieur et avec le département de lutte contre la pauvreté sur le dossier de l'adresse de référence. C'est ainsi que je travaillais avec M. Jambon, et maintenant avec M. De Crem. En matière de lutte contre la pauvreté, je collaborais avec Mme Demir, M. Peeters, M. Beke; et maintenant, Mme Muylle a repris le dossier. Je ne vous cacherai pas que ces changements au niveau des ministres en charge du dossier ont ralenti considérablement l'actualisation de la circulaire que nous devons produire afin d'éviter les problèmes d'interprétation. Le projet que nous menons, et je souhaite que cela puisse être réalisé rapidement, est d'actualiser la circulaire en matière d'adresse de référence pour que nous puissions éviter les problèmes que vous avez rappelés. Il est important de souligner le rôle primordial joué par les services d'inspection du SPF Intégration sociale qui n'hésitent pas, dans un certain nombre de cas, à recadrer les CPAS quand leur interprétation ne correspond pas au sens de la législation. Monsieur le président, je terminerai en soulignant un point par rapport aux revendications qui ont pu être rapportées ce matin dans le cadre de la journée consacrée à ces questions. Le Front commun des SDF, avec lequel nous travaillons régulièrement, a présenté de nouvelles propositions et revendications visant à dissocier l'aide sociale d'une inscription effective au Registre national. Nous en prenons acte et allons, bien entendu, l'examiner. Néanmoins, il convient de rappeler que la logique de réintégration sociale, à travers l'adresse de référence, demeure une priorité.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u49	[[13.03 Vanessa Matz (cdH):]] Monsieur le ministre, je vous remercie. Je ne vous étonnerai probablement pas en vous indiquant que les nombreux changements au sein du gouvernement ne justifient pas que des dizaines de gens se trouvant dans la rue attendent - et pas simplement une circulaire. Ils n'ont pas de logement et n'ont pas droit à l'aide sociale. Objectivement, je ne peux donc pas entendre cette réponse. Veuillez excuser cette expression triviale, mais je vous demande franchement de "mettre le paquet" pour faire appliquer cette circulaire. Il importe d'en rendre impossible la moindre interprétation, car c'est la dignité des gens qui est en jeu.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u50	[[14.01 Daniel Senesael (PS):]] Monsieur le ministre, cela fait maintenant une semaine que l'incendie de l'usine Lubrizol à Rouen a eu lieu. Les conséquences sanitaires de cette catastrophe industrielle majeure ne sont pas à prendre à la légère. Elles inquiètent la population, particulièrement les agriculteurs. Je ne souhaite pas être alarmiste et je ne veux surtout pas inquiéter inutilement la population mais je me pose des questions. En effet, ce mercredi 2 octobre, le préfet de l'Aisne a pris un arrêté préfectoral pour restreindre la commercialisation des produits et récoltes dans l'attente des garanties sanitaires. La commune d'Hirson, qui se trouve à dix kilomètres de Momignies, près de Chimay dans la province du Hainaut, est reprise dans liste qui a été dressée. Dans cette commune, les œufs, le miel, les produits laitiers, les poissons d'élevage sont consignés jusqu'à évaluation du risque sanitaire. On peut donc se poser des questions concernant les communes limitrophes de Wallonie. Selon l'AFSCA, le risque est négligeable et des dispositions ne doivent pas être prises. Je voudrais comprendre. En effet, suite à la demande des agriculteurs, relayée par la FUGEA lundi dernier, quant à la prévisibilité et quant à une position claire sur les retombées éventuellement nocives de notre côté de la frontière, l'AFSCA reste très floue, très vague. Monsieur le ministre, pouvez-vous faire la transparence sur les conséquences sanitaires de l'incendie? Les fumées qui ont traversé la Belgique – vous savez que la frontière ne les arrête pas – ont-elles des retombées nocives sur les produits de notre agriculture? Quelles démarches ont été entreprises par l'AFSCA depuis l'incendie? Préparez-vous des mesures conservatoires?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u51	[[14.02 Denis Ducarme, ministre:]] Monsieur Senesael, nous en parlons souvent en commission: la santé des Belges est notre priorité commune. Je dois vous rappeler que la problématique extrêmement importante que vous soulevez aujourd'hui relève de la compétence de la Région wallonne. Celle-ci est en effet compétente pour les questions liées à la pollution de l'air, des eaux et des sols. Comme vous le savez, la ministre wallonne de l'Environnement, Mme Tellier, a indiqué dès dimanche, sur la base des éléments en possession du Centre régional de Crise wallon, que la qualité de l'air était bonne. Elle a ajouté que des analyses de sol approfondies ne semblaient pas nécessaires vu la dispersion des polluants par la pluie et la faible quantité de polluants ayant atteint la Belgique. Même si la compétence est régionale, j'ai veillé, dès ce week-end, à prendre des contacts avec mes collègues des départements de l'Environnement et de la Santé. Une réunion a été organisée au 16. Il s'agissait de faire savoir que le fédéral se tenait à disposition de la Région et du centre régional de crise. Cela a été communiqué. Nous n'avons reçu à ce stade aucune information relative à d'éventuels tests réalisés par le Centre régional de Crise wallon. Aucune demande spécifique n'a par ailleurs été adressée par le centre régional. À cet égard, j'ai écrit à la ministre Tellier afin de l'assurer de la disponibilité des départements fédéraux concernés, en ce compris de l'AFSCA. J'apprends par ailleurs aujourd'hui que les autorités wallonnes ont reçu le résultat des tests réalisés par la France. Ces tests concluent à une absence de toxicité aiguë dans l'air, à une absence d'amiante et à une absence de polluants ordinaires dans l'eau potable. Je ne vais pas vous cacher que je suis assez étonné que les services de Mme Tellier n'aient pas réalisé leurs propres tests, en attendant ou en complément des tests organisés par les autorités françaises. J'en suis assez surpris. Au moment où je vous parle, sur base des informations fournies par le Centre de Crise régional wallon – en première ligne et compétent dans le dossier –, le risque de contamination environnementale demeure toujours négligeable en Belgique. L'AFSCA n'a reçu aucune demande complémentaire par rapport à des initiatives qu'elle est toujours prête à prendre. Je vous répète que je m'étonne que ni le centre régional ni Mme Tellier n'aient pris d'initiative en attendant les tests français.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u52	[[14.03 Daniel Senesael (PS):]] Monsieur le ministre, je vous remercie pour vos réponses. Je comprends que l'incendie de Rouen inquiète la population. On sait qu'il s'agit d'une catastrophe industrielle très importante comme on en a connu très peu au cours des dernières décennies. On le rappelle souvent mais ce nuage de fumée était quand même impressionnant: 22 km de long sur 6 km de large. Cinq ou six heures plus tard, on voyait ces premières fumées en Belgique et de nombreux témoignages en France faisaient état de diarrhées, de nausées, de vomissements. Monsieur le ministre, vous parlez de l'inquiétude du Centre de Crise wallon qui n'a pas pu ou voulu organiser certains devoirs mais ma question portait plus au niveau de l'agriculture et donc de l'AFSCA. Il est étonnant de constater que, d'une part, le Centre de Crise nous recommande de prendre des précautions – bien laver les aliments, bien se laver les mains, etc. – et que, de l'autre, l'AFSCA nous dit qu'il n'y a rien à craindre, que tout va pour le mieux dans le meilleur des mondes. La population s'inquiète donc légitimement et veut la transparence ainsi que de la prévisibilité. Enfin, elle entend bien être rassurée quant au suivi de ces fumées.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u53	[[De voorzitter:]] Aan de orde is de vraag van de heer Anseeuw aan minister De Backer over de deontologie van de inspectiediensten. Er is echter ook een vraag over hetzelfde onderwerp van mevrouw Verhelst aan minister Muylle. De afspraak tussen de ministers is dat minister Muylle straks op beide vragen zal antwoorden.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u54	Mijnheer Anseeuw, minister De Backer zegt dat hij aanwezig zal blijven. Als er nog zaken zijn die op hem betrekking hebben, zullen ze beiden de vragen beantwoorden. Dan geef ik het woord aan de heer Briers, voor zijn eerste tussenkomst.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u55	[[15.01 Jan Briers (CD&V):]] Mijnheer de voorzitter, mijnheer de minister, waarde collega's, bpost en Proximus krijgen allebei een nieuwe CEO. De beslissing ligt bij de raden van bestuur. Zij hebben een performant management, met bijna 40 000 geëngageerde werknemers. Beide CEO's, zowel de heer Van Gerven als mevrouw Leroy hebben zeer verdienstelijk werk geleverd. Dat mogen wij gerust zeggen. Wij zijn uiteraard voorstander van een modern governancekader voor overheidsbedrijven. We gaan ons niet bemoeien met de operationele werking, maar wij mogen wel een sterke referentieaandeelhouder zijn. Cruciaal blijft hun maatschappelijke rol. Als we zien dat er bij Proximus 900 jobs verdwijnen naar India, dan moet ons dat toch aan het denken zetten. Tegelijkertijd zien we dat de bijscholingsgraad bij Proximus de laatste tien jaar achteruit gaat. Innovatie hoort bij ons te blijven. Mijnheer de minister, wat is de stand van zaken inzake de benoeming van de twee CEO's? Welke stappen hebben de raden van bestuur genomen? Is de verkoop van de aandelen door mevrouw Leroy in overeenstemming met de interne regels van het bedrijf? Hebben de beide CEO's recht op een vertrekvergoeding? De huidige CEO van Proximus wilde direct naar KPN vertrekken. Moet de raad van bestuur een strikter niet-concurrentiebeding instellen?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u56	[[15.02 Minister Philippe De Backer:]] Mijnheer de voorzitter, mijnheer Briers, zoals u weet, liggen de zoektocht naar en de aanstelling en benoeming van de twee nieuwe CEO's in handen van de raden van bestuur van beide bedrijven. Op dit moment hebben de raden van bestuur een headhunter aangesteld die tegen eind oktober een longlist zal hebben opgesteld. Daarvan wordt dan een shortlist gemaakt door de raden van bestuur, waarna de assessments van en discussies met de kandidaten van start kunnen gaan. Hopelijk hebben wij voor het einde van het jaar voor allebei duidelijkheid. De verkoop van aandelen door mevrouw Leroy waarnaar u vraagt, was op dat moment, met de toen gekende informatie, in regel met de Dealing Code van Proximus. Op dit moment loopt er nog een gerechtelijk onderzoek en een onderzoek door de FSMA, waarover ik mij als minister niet zal uitspreken. Het contract met beide CEO's werd op onderlinge basis en met onderling vertrouwen verbroken. Er is nu een zoektocht naar nieuwe CEO's aan de gang. Mevrouw Leroy heeft geen recht op een vertrekpremie, dus er is daarover geen discussie. Er was ook geen concurrentiebeding. Er was wel degelijk een concurrentiebeding opgenomen in het contract, maar dat kon niet worden ingeroepen, gelet op de volgende twee voorwaarden: niet in België bij een telecomspeler en niet in een ander land waar Proximus een omzet van meer dan 5 % haalt, wat voor Nederland niet het geval was. Ik acht het ook niet wenselijk om striktere non-compete clauses in te schrijven omdat die heel vaak beperkt zijn tot waar die bedrijven actief zijn. Aangezien dat toch primair in België is, lijkt het mij de logica zelve om het dan ook tot daar te beperken.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u57	[[15.03 Jan Briers (CD&V):]] Mijnheer de voorzitter, mijnheer de minister, ik dank u voor uw kort en duidelijk exposé. Wij onthouden dat de maatschappelijke rol voor de 40.000 werknemers en hun gezin cruciaal is. Beide bedrijven zijn onontbeerlijk voor onze bevolking en onze bedrijven. Samengevat, onrust rond de benoeming van de nieuwe CEO's is onaanvaardbaar.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u58	[[De voorzitter:]] Mag ik minister Muylle uitnodigen? Mevrouw Muylle, ik wil u eerst en vooral feliciteren met uw benoeming. Er is een grote mobiliteit op het departement.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u59	Ik stel voor om even af te wijken van de volgorde en eerst het woord te verlenen aan de heer Anseeuw en daarna aan mevrouw Verhelst.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u60	De heer Anseeuw heeft dus een vraag over het vermijden van fraude bij de RVA maar hij heeft dat enigszins anders omschreven.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u61	[[16.01 Björn Anseeuw (N-VA):]] Mijnheer de voorzitter, ik heb mijn vraag natuurlijk niet anders omschreven, mijn vraag gaat wel degelijk over de deontologie en overstijgt de RVA. Mijn vraag is in de eerste plaats gericht tot minister De Backer die bevoegd is voor Fraudebestrijding. Mevrouw Muylle, u mag uiteraard ook altijd antwoorden als u dat wenst, ik ben bijzonder liberaal in die dingen. Mijnheer de minister, de integriteit en de deontologie van diegenen die moeten controleren op sociale fraude mogen nooit ter discussie staan. Elke ambtenaar, in het bijzonder de sociaal inspecteur, moet boven elke verdenking staan. Hun handelen moet dan ook doorspekt zijn met waarden als objectiviteit, loyauteit aan de regelgeving en onpartijdigheid. Duidelijke gedragsregels moeten hun deontologisch handelen verzekeren. Die gedragsregels moeten natuurlijk ook gehandhaafd worden. Wij hebben in dit land zeven sociale inspectiediensten en de inspectie van de RVA is er daar één van. Bij de RVA is er de Directie Interne Controle en Procesbeheer die onder andere moet toezien op de deontologie van alle medewerkers van de RVA. Nu blijkt dat er een gerechtelijk onderzoek is gestart naar een sociaal inspecteur van de RVA. Wij willen de dame in kwestie niet veroordelen want het is aan een rechter om zich daarover uit te spreken. Wat echter wel opvalt in dit verhaal is dat de bal blijkbaar niet aan het rollen is gegaan omdat de RVA aan de alarmbel heeft getrokken maar wel omdat de federale politie dat in dit geval heeft gedaan. Wij stellen ons dus luidop de vraag of de interne controlemechanismen van de RVA vandaag wel voldoen om dergelijke vormen van omkoping en corruptie op te merken en aan te pakken. Wat ons betreft mag er geen twijfel bestaan: wie op het terrein elke dag opnieuw strijdt tegen sociale fraude moet worden beschermd en ondersteund wanneer hij of zij onder druk wordt gezet. Wie niet aan de verleiding van corruptie en omkoping kan weerstaan moet echter ook zo snel mogelijk worden opgespoord. Mijnheer de minister, welke specifieke mechanismen worden er binnen de interne controle van de RVA maar bij uitbreiding ook binnen de SIOD, de Sociale Inlichtingen- en Opsporingsdienst, ingezet om de verschillende vormen van corruptie en omkoping op te merken en aan te pakken?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u62	[[16.02 Kathleen Verhelst (Open Vld):]] Geachte minister, de regering heeft de afgelopen jaren veel geïnvesteerd in de strijd tegen sociale fraude, zwartwerk, schijnzelfstandigheid, detacheringfraude, uitkeringsfraude, en andere misbruiken. Dergelijke zaken hebben in een eerlijke samenleving, die wij allemaal verdienen, geen plaats. Er zijn sterke resultaten geboekt door deze regering. Vorig jaar is er in de strijd tegen de sociale fraude blijkbaar maar liefst 272 miljoen euro opgehaald, een nieuw record. Het is dan ook des te pijnlijker dat wij vandaag kennis moeten nemen van een geval van corruptie bij de sociale inspectiediensten. Wanneer het over corruptie bij de overheid gaat, denken wij vaak aan het buitenland. Het is dan ook telkens weer schrikken wanneer wij moeten vaststellen dat corruptie ook in België voorkomt. België behaalt 75 % op de corruptie-index van Transparency International. Dat betekent de 17de plaats, op 180 landen. Dat is niet slecht maar het Verenigd Koninkrijk en Duitsland behalen 80 %, Nederland behaalt 82 % en Denemarken zelfs 88 %. Er is dus zeker nog werk aan de winkel. De sociale inspectiediensten verrichten uiteraard gevoelig werk. Het is niet onaannemelijk dat zij af en toe benaderd worden door malafide personen en gevaarlijke organisaties. Wij mogen hen dus niet direct met de vinger wijzen, maar een grondig onderzoek is zeker nodig. Wij hopen dat het in dit geval om een geïsoleerd geval ging. Mijnheer de minister, ik kom tot mijn vragen. Ten eerste, welke interne mechanismen hanteert de RVA om dergelijke feiten te vermijden en op te sporen? Zijn deze effectief genoeg? Ten tweede, zijn er in het verleden al dergelijke gevallen geweest waarbij een sociaal inspecteur corruptie pleegde? Werden er daartegen toen maatregelen genomen? Ten derde, in het recente jaarverslag van de RVA lezen wij dat de dienst werkt aan het vernieuwen van de deontologische codes. Wat is de stand van zaken? Ten vierde, welke bijkomende maatregelen vindt u zelf zeker nodig? Ten vijfde en tot slot, wij lezen dat de betrokken persoon op non-actief werd gesteld. Uiteraard respecteren wij het vermoeden van onschuld, maar indien de feiten bewezen worden, welke stappen volgen er dan?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u63	[[De voorzitter:]] Mevrouw de minister, u hebt het woord voor uw maidenspeech als minister.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u64	[[16.03 Minister Nathalie Muylle:]] Mijnheer de voorzitter, collega's, bedankt voor uw vragen. Het klopt dat er vandaag een onderzoek plaatsvindt naar een van de sociaal inspecteurs van de RVA, wat ook deel uitmaakt van een gerechtelijk onderzoek naar schending van beroepsgeheim en openbare omkoping. De RVA werd daarvan op de hoogte gebracht op 25 juni 2019 door een pro-justitiabeschikking tot huiszoeking, uitgevaardigd door de Nederlandstalige rechtbank van eerste aanleg in Brussel. Daarbij werden alle opdrachten gegeven in het kader van het onderzoek, ook in het kader van een huiszoeking, waarbij in de burelen van de RVA alle daden werden gesteld met het oog op alle elementen, documenten en voorwerpen die konden wijzen op of verband hielden met feiten als dader of mededader van openbare omkoping of schending van beroepsgeheim. Sta mij toe om te beklemtonen dat de RVA onmiddellijk alle nodige ingrepen en maatregelen heeft genomen. Zo werden informaticatoegangen meteen, diezelfde dag nog, afgesloten. Er is ook een huiszoeking gebeurd, waarbij een gsm en een laptop in beslag werden genomen. Betrokkene heeft zich diezelfde dag ziek gemeld. Vanwege het belang om de goede werking van de dienst veilig te stellen en ook om het vertrouwen in de dienstverlening te kunnen garanderen, werd betrokkene op 29 augustus geschorst, wat een tijdelijke verwijdering uit de dienst betekent en waarvan een tijdelijke onmogelijkheid om arbeidsprestaties uit te voeren het gevolg is. Er bestaan heel wat vragen over de aanpak door de RVA. Welnu, ik kan u meedelen dat er op dat vlak heel wat stappen vooruit zijn gezet. Vandaag kent de RVA een zeer concrete aanpak om misbruiken door sociaal inspecteurs te vermijden, vooral door intensieve opleiding en coaching. Via steekproefsgewijze kwaliteitscontroles vindt er ook toezicht plaats, zowel op de aanpak als specifiek op de afhandeling van dossiers. Dat gebeurt niet slechts na een bepaalde periode, maar vrij intensief doorheen het traject, vanaf de indiensttreding en gedurende de hele loopbaan. Wij vinden dan ook dat de RVA op een adequate en concrete manier heeft gehandeld en ten volle haar medewerking heeft verleend. De RVA zal blijven meewerken aan het onderzoek.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u65	[[De voorzitter:]] Vervolgens geef ik het woord aan minister De Backer.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u66	[[16.04 Minister Philippe De Backer:]] Mijnheer de voorzitter, ik heb een aanvulling die misschien niet onbelangrijk is. Er bestaat een deontologische code voor ambtenaren. In het geval van de RVA is deze ook omgezet in een specifieke deontologische code voor de inspecteurs. Dat geldt trouwens voor alle inspectiediensten die zo'n deontologische code hebben en er wordt strikt op toegekeken dat deze wordt nageleefd. Het is ook belangrijk om mee te geven dat dit een alleenstaand en uniek geval is. Er zijn 1 200 inspecteurs en de meesten oefenen hun job dag in dag uit correct uit, in moeilijke omstandigheden. Daarom moeten wij des te harder optreden als men vaststelt dat er hier sprake is van een misdrijf.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u67	[[16.05 Björn Anseeuw (N-VA):]] Mijnheer de voorzitter, mijnheer de minister De Backer, ik dank u voor uw aanvulling. U zegt dat het een alleenstaand geval is. Dit is het enige geval dat vandaag gekend is, dat is het besluit. Tegelijk kunnen wij besluiten dat met zeven verschillende inspectiediensten, die elk op hun manier moeten toekijken op de deontologie van al hun medewerkers, de middelen in verspreide slagorde worden ingezet. Wij moeten in de toekomst dus echt inzetten op de eenmaking van alle sociale inspectiediensten. Het bundelen van de krachten kan ervoor zorgen dat het toezicht op de deontologie veel scherper en sterker kan. U zegt dat het een alleenstaand geval is. Het is misschien het enige geval dat u kent, maar dat betekent nog niet dat dit het enige geval is. U schudt het hoofd, mijnheer de minister, maar er kunnen nog zo'n gevallen onder de waterlijn liggen. Wij stellen vast dat het huidig systeem niet doeltreffend genoeg is. Het moet worden verbeterd en dat kan door de krachten te bundelen. Het is in een rechtsstaat immers ontzettend belangrijk dat de burger er minstens op kan vertrouwen dat degenen die moeten toezien op het naleven van essentiële regels, wel degelijk te goeder trouw zijn. Anders is het einde helemaal zoek.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u68	[[16.06 Kathleen Verhelst (Open Vld):]] Mijnheer de voorzitter, mijnheer de minister, ik dank u voor uw antwoord. Ik ben blij dat het om een geïsoleerd geval gaat, dat hopelijk niet vaak voorkomt. Het is duidelijk dat wij moeten blijven inzetten op de strijd tegen de sociale fraude. Ik vind het onaanvaardbaar en het is een slag in het gezicht van elke ondernemer die de regels wel wil volgen. Wij steunen de strijd tegen de sociale fraude voluit en zullen deze thematiek blijven opvolgen in de Kamer.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u69	[[De voorzitter:]] Dank u wel, mevrouw Verhelst, en proficiat met uw maidenspeech.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u70	[[17.01 Sophie Rohonyi (DéFI):]] Monsieur le président, madame la ministre, proficiat voor uw benoeming! Vous avez hérité d'un portefeuille essentiel dans un contexte où les discriminations sans cesse en recrudescence nécessitent des politiques volontaristes mais aussi coordonnées. C'était d'ailleurs l'engagement à chaque fois pris par vos prédécesseurs dans le cadre de leurs notes de politique générale respectives. Pourtant, ce lundi, le nouveau gouvernement flamand, dont votre parti est membre, a annoncé son retrait de l'accord de coopération du 12 janvier 2013 instaurant Unia, le Centre interfédéral pour l’égalité des chances. Ce Centre est chargé de promouvoir la participation de tous les citoyens à la vie en société mais aussi de lutter contre toutes les discriminations qui seraient basées sur l'un des dix-sept critères établis par les lois anti-discrimination fédérales. La décision du gouvernement flamand a de lourdes conséquences quant au bon fonctionnement d'Unia qui sera uniquement compétent pour les matières fédérales, c'est-à-dire tout ce qui concerne l'application des dispositions prévues dans le Code pénal (les lois antiracisme, le négationnisme, etc.) à l'exclusion des matières régionales et communautaires, ce qui comprend l'enseignement, l'emploi ou encore le logement, secteurs où, on le sait, les discriminations sont légion. Il découlera enfin de cette décision une perte de lisibilité pour les victimes de discrimination qui n'auront plus un seul référent comme c'est le cas aujourd'hui, ce qui va totalement à l'encontre des recommandations établies par la commission fédérale d'évaluation des lois anti-discrimination, de ce qui se fait dans nos pays voisins mais aussi, tout simplement, du bon sens. Madame la ministre, quel est votre avis sur ce retrait? Vous savez le travail réalisé par Unia dans un climat interfédéral constructif. Ne craignez-vous pas pour l'efficacité et la coordination des mesures qui seront prises par les différents nouveaux gouvernements, tant des entités fédérées qu'au niveau fédéral? Avez-vous obtenu des garanties quant à l'indépendance de ce futur centre pour l'égalité des chances flamand, puisque Unia jouit de cette indépendance?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u71	[[17.02 Jessika Soors (Ecolo-Groen):]] Mijnheer de voorzitter, mevrouw de minister, ook van mijnentwege gefeliciteerd met uw aanstelling. Ik kijk er namens de Ecolo/Groen-fractie naar uit om constructief met u samen te werken in de strijd tegen racisme en discriminatie. Er is meteen een gelegenheid. Uw voorganger, de heer Beke, heeft als Vlaams onderhandelaar mee beslist om uit Unia te stappen. Hij zadelt u daarmee met een uitdagende erfenis op. Als federaal parlementslid ben ik heel bezorgd om de Vlaamse beslissing. De oprichting van een interfederaal centrum als Unia is het resultaat van Europese verplichtingen. Destijds heeft België de keuze gehad tussen kiezen voor zes of negen verschillende centra los van elkaar, of samenwerken. De keuze viel op samenwerken en gelukkig maar. Het is veel efficiënter voor alle betrokken overheden, voor de verschillende organisaties, maar zeker ook voor de burgers om één aanspreekpunt te hebben. Het kost ons ook minder belastinggeld. Het scenario van ieder voor zich waar Vlaanderen nu voor kiest, is duurder en zal tot kafkaiaanse toestanden leiden. De onderhandelingen rond de oprichting van Unia hebben destijds zeven jaar geduurd. Jaren werk die nu worden teruggedraaid! Minstens 10 procent van de werkingsmiddelen van Unia komt nu in het gedrang. Uit het regeerakkoord van 2014 blijkt dat de huidige regering gelijke kansen als een belangrijk transversaal thema beschouwt. Uw vorige voorganger – het wordt nu complex, maar ik heb het over de heer Peeters – verwees nog naar de strijd tegen racisme en discriminatie als een probleem dat een diepgaande, interfederale aanpak vergt, waar we pas concreet resultaten in zullen boeken als alle neuzen in dezelfde richting wijzen. Hij had gelijk. De meldingen die Unia de voorbije vijf jaar heeft ontvangen, zijn met meer dan de helft toegenomen. Vijfenveertig procent van die dossiers komt uit Vlaanderen. De strijd is niet gestreden. Daarom twee vragen voor u. Ten eerste, zult u als federaal minister in dialoog treden met Vlaanderen en hun ervan proberen te overtuigen dat interfederale samenwerking in deze materie absoluut noodzakelijk is? Ten tweede, volgens het samenwerkingsakkoord van de oprichting van Unia had Vlaanderen de opzeg van de samenwerking moeten doen tegen 15 september. Dat is niet gebeurd. De opzegging van Vlaanderen komt te laat. Zult u als minister erop toezien dat de wettelijke bepalingen worden nageleefd? Garandeert u met andere woorden dat de werking van Unia onveranderd blijft tot ten minste maart 2023?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u72	[[De voorzitter:]] Collega Soors, u hebt dit gedaan zonder spiekbriefje, maar niet binnen de tijd. Geen probleem. De twee collega's die net aan het woord waren, deden dat voor het eerst in de Kamer, waarvoor mijn felicitaties.
